Gene,CFOS,CTCF,EGR1,NRF1,NRSF,POU2F2,SP1,SRF,STAT3,USF1,YY1
ENSG00000115159,0,15.60640357,0,21.42090211,0,90.58543705,107.1270044,88.04499522,0.873992341,0,4.710800228
ENSG00000162636,0,116.7233159,0,6.28903001,0,0.575215488,267.9455023,20.75057302,18.75586802,0,103.6127964
ENSG00000255080,0,0,0,0,0,0,0,0,3.901124038,0,7.68E-14
ENSG00000044115,0,8.562964823,0,1.652006597,0,0,0,39.25072173,0,2.955352509,4.69E-15
ENSG00000223350,0,113.1965084,0,2.00156942,0,0,0.603238034,0,0,31.1031689,4.00E-35
ENSG00000203914,0,0.818560354,0,0,0,0,0,0,0,11.28634753,0
ENSG00000207590,0,61.32203187,0,0.086733128,0,0,19.02566756,1.446728129,0.083786825,0,0.00011521
ENSG00000212694,0,65.14503608,0,10.84750466,0,746.2787813,737.543639,254.4953773,4.326362729,0,283.8460832
ENSG00000251779,0,3.077862937,0,0,0,0,12.2324025,0,0,0,0
ENSG00000240341,0,0,0,0,0,0,0,0,0,0,3.08E-06
ENSG00000088766,0,131.3308514,0,7.363274171,0,221.7138225,0,0,18.24951418,0,787.1507568
ENSG00000249581,0,24.17918651,0,3.510243863,0,0,0,0,0,0,0.000634979
ENSG00000221779,0,46.6051428,0,0,0,0,0,0,0,0,0
ENSG00000244245,0,0.236303705,0,0,0,0,0,0,0,0,0
ENSG00000238636,0,14.32430574,0,1.539892646,0,97.05726864,108.4433983,0,1.555764678,0,6.18E-07
ENSG00000234650,0,1.328784579,0,0,0,0,0,0,0,0,0
ENSG00000251014,0,19.09315837,0,0,0,5.751604314,2.478902293,67.80347933,0,0,1.38E-06
ENSG00000198211,0,51.46285778,29.77342422,0,3982.673153,0.749276525,95.49011257,0,2.149835104,78.57215405,2.91E-07
ENSG00000223986,0,1.392796075,0,0,0,0,0,0,0.07003513,0,7.64E-38
ENSG00000207930,0,0.781023634,0,3.543261407,0,0,0,0,0,0,0
ENSG00000143457,14.25173905,3.964543701,0,4.981923454,0,25.1165869,2736.226546,0,3.461334902,0,0
ENSG00000132612,0,239.7392182,0,18.89304384,0,0.697045487,534.0914126,120.9951046,33.82745275,0,261.3342377
ENSG00000225612,0,2.204034384,0,0,0,0,0,0,0,0,0
ENSG00000185269,0,236.8712502,12.29324042,8.32280623,0,0,152.5383957,4.587074378,0,119.6261553,0.091102179
ENSG00000163481,0,12.94418372,0,3.573018046,0,0,18.25192881,618.1498727,2.947540035,0,1294.192503
ENSG00000222833,0,0.057658494,0,0,0,0,0,0,0,0,0
ENSG00000240590,0,1.969775274,0,0,0,0,0,0,0,0,0
ENSG00000145868,0,26.69321855,0,8.663380117,0,238.129346,125.2889454,0,7.868824017,0,1988.542805
ENSG00000070669,0,16.3788305,0,13.04408879,0,127.3013711,194.6754931,117.2168074,8.225959695,0,0
ENSG00000219451,0,2.750880479,0,0,0,0,0,0,0,0,0
ENSG00000234921,0,36.11246624,0,1.011391283,0,1.720379007,26.60497168,0,5.470839374,0,2.23E-13
ENSG00000157306,0,57.0924733,0,13.30889222,0,226.8363661,1.897156348,169.735223,2.918553865,11.26025423,2148.033771
ENSG00000178585,0,38.38538388,0,9.505856104,0,246.6275626,1143.736395,1377.518295,0,24.82241761,21.64101861
ENSG00000184730,9.043950205,33.21354198,0,2.402166811,0,189.8651886,834.9044024,0,1.569641216,1818.600415,91.34050082
ENSG00000248362,0,9.214486317,0,0.018017208,0,0,0,0,0,0,0
ENSG00000215930,0,13.09871092,0,0,0,0,8.774148844,0,0,0,1.53E-44
ENSG00000253138,0,3.187854516,0,0.470548646,170.7084944,0,0,0,0,0,1.21E-24
ENSG00000240254,0,2.968312029,0,0,0,0,11.95783043,0,0,0,2.51E-23
ENSG00000187550,0,41.72029703,0,0.069796921,0,0,19.23576217,0,0,0,0
ENSG00000213735,0,1.558100523,0,0,0,0,0,0,0,0,0
ENSG00000181101,0,2.771695827,0,0.071066098,0,10.28559803,15.68131814,3.355715399,0.068037171,0.698917593,5.32E-24
ENSG00000077312,4.814342476,26.69917288,0,2.006050193,0,140.4557437,3077.443774,0,0.009608436,1545.580441,374.7488709
ENSG00000234397,0,20.21494052,0,0,0,0,0,0,0,0,0
ENSG00000256936,0,1.121904169,4.463409281,0.916788171,0,2.877937816,67.4210572,3.129017256,0,0,4.22E-31
ENSG00000206846,0,7.688691746,0,0,0,2.345130237,14.44484409,0,0.022006244,0,0
ENSG00000132275,0.715489533,40.51220758,0,12.60467377,0,363.7673882,662.5754532,457.9920172,2.372409005,17.86036593,197.3964056
ENSG00000204160,0,115.5102486,0,0.465066896,0,30.61037715,216.3326237,123.316964,2.549577058,0,272.0177381
ENSG00000221040,0,0,0,0.453205409,0,0,0,0.398341217,0,0,0
ENSG00000240905,0,12.64921239,0,3.442342545,0,9.762015467,69.62614062,0,11.44821553,100.9235678,0
ENSG00000115310,0,0,0,0,0,0,4.362187816,24.84275338,0.042413835,2.437752973,1.21E-35
ENSG00000224122,0,9.154319769,0,1.627837447,0,0,0,0,14.19024718,0,0
ENSG00000119669,0,48.54065384,0,4.619953736,47.79684876,228.7974406,253.7543957,155.6778179,0.143777528,0,0.000506195
ENSG00000248946,0,0,0,0,34.48779741,0,1713.34556,0,0,0,0
ENSG00000240427,0,6.80272363,0,0,0,0,0,0,0,0,0
ENSG00000186063,0,31.45977284,0,9.778296781,0,168.3580019,552.8658291,1789.657722,0.035541686,1863.158921,2380.717973
ENSG00000180376,9.060355017,32.3441558,0,2.282326351,0,136.2878026,1614.746554,0,0,0,107.5777334
ENSG00000243720,0,0.133820403,0,4.831428941,0,0,0,0,1.683047721,68.25420117,0
ENSG00000010319,0,98.29669669,15.5892486,2.80927394,0,0,23.71525167,517.6349182,0,30.52719532,6.02E-16
ENSG00000255446,0,136.9494201,0,0.209573073,0,0,121.8666552,0,3.585142679,0,0.709165095
ENSG00000159712,0,4.243006626,0,0,0,0,272.0357138,0,0,0,0
ENSG00000254131,0,7.904468789,0,0,0,0,0,0,0,0,0
ENSG00000241484,0,85.45223,0,4.670496414,0,5.343031037,171.3828341,3.705119036,1.596512433,266.0865307,8.65E-07
ENSG00000074356,0,190.9244554,0,3.200682925,0,0,541.3911286,0,0,0,1737.472955
ENSG00000145861,0,1.243206527,0,0.025079105,0,0,0,0,0,0,8.52E-42
ENSG00000007384,0.118339529,46.03407098,0,12.29539626,0,1.652023367,171.8760316,0,0,87.11645196,1.81E-16
ENSG00000199311,0,0.052251304,0,0,0,0,0,0,0,0,0
ENSG00000199444,0,81.86149313,0,0,1.808711417,0,2.752755266,0.336885452,0,9.993103975,7.11E-06
